,TRACES_AMOUNT,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR,FULL
0,3,1,103.5625,0,0.0,1
1,3,4,106.875,0,0.0,1
2,3,16,97.25,0,0.0,1
3,12,1,104.3125,0,0.0,1
4,12,4,149.6875,0,0.0,1
5,12,16,143.75,0,0.0,1
6,48,1,112.875,0,0.0,1
7,48,4,107.4375,0,0.0,1
8,48,16,152.75,0,0.0,1
9,192,1,89.5625,0,0.0625,1
10,192,4,102.0625,0,0.0,1
11,192,16,119.0,0,0.0625,1
12,768,1,10.6875,0,0.8125,1
13,768,4,20.6875,0,0.625,1
14,768,16,40.8125,0,0.4375,1
15,3,1,108.1875,0,0.0,1
16,3,4,107.75,0,0.0,1
17,3,16,91.3125,0,0.0,1
18,12,1,115.25,0,0.0,1
19,12,4,89.75,0,0.0,1
20,12,16,145.4375,0,0.0,1
21,48,1,123.1875,0,0.0,1
22,48,4,109.875,0,0.0,1
23,48,16,136.25,0,0.0,1
24,192,1,88.875,0,0.125,1
25,192,4,42.6875,0,0.1875,1
26,192,16,122.0,0,0.0,1
27,768,1,10.9375,0,0.6875,1
28,768,4,28.25,0,0.5,1
29,768,16,49.0625,0,0.4375,1
30,3,1,109.3125,0,0.0625,1
31,3,4,117.75,0,0.0,1
32,3,16,118.25,0,0.0,1
33,12,1,103.75,0,0.0,1
34,12,4,89.0,0,0.0,1
35,12,16,155.0,0,0.0,1
36,48,1,125.375,0,0.0,1
37,48,4,106.1875,0,0.0,1
38,48,16,120.9375,0,0.0,1
39,192,1,75.1875,0,0.125,1
40,192,4,107.25,0,0.0625,1
41,192,16,103.8125,0,0.0,1
42,768,1,8.75,0,0.75,1
43,768,4,15.9375,0,0.5,1
44,768,16,56.625,0,0.5,1
45,3,1,109.3125,0,0.0,1
46,3,4,107.4375,0,0.0,1
47,3,16,107.1875,0,0.0,1
48,12,1,130.125,0,0.0,1
49,12,4,125.5,0,0.0,1
50,12,16,125.6875,0,0.0,1
51,48,1,115.9375,0,0.0,1
52,48,4,167.75,0,0.0,1
53,48,16,154.6875,0,0.0,1
54,192,1,110.125,0,0.0625,1
55,192,4,129.6875,0,0.0625,1
56,192,16,104.5625,0,0.0,1
57,768,1,9.125,0,0.6875,1
58,768,4,14.8125,0,0.5625,1
59,768,16,58.5,0,0.4375,1
60,3,1,109.8125,0,0.0,1
61,3,4,122.5625,0,0.0,1
62,3,16,109.4375,0,0.0,1
63,12,1,88.5625,0,0.0,1
64,12,4,118.0625,0,0.0,1
65,12,16,116.9375,0,0.0,1
66,48,1,131.875,0,0.0625,1
67,48,4,114.4375,0,0.0625,1
68,48,16,150.8125,0,0.0,1
69,192,1,76.0625,0,0.0,1
70,192,4,83.9375,0,0.0625,1
71,192,16,100.3125,0,0.0625,1
72,768,1,18.125,0,0.6875,1
73,768,4,21.3125,0,0.5,1
74,768,16,46.6875,0,0.4375,1
75,3,1,107.6875,0,0.0625,1
76,3,4,116.3125,0,0.0,1
77,3,16,122.1875,0,0.0,1
78,12,1,160.875,0,0.0,1
79,12,4,152.5,0,0.0,1
80,12,16,126.375,0,0.0,1
81,48,1,98.3125,0,0.0625,1
82,48,4,127.4375,0,0.0,1
83,48,16,108.25,0,0.0,1
84,192,1,88.0,0,0.0625,1
85,192,4,74.0625,0,0.125,1
86,192,16,102.25,0,0.0,1
87,768,1,14.875,0,0.75,1
88,768,4,21.0,0,0.5,1
89,768,16,57.375,0,0.4375,1
90,3,1,109.1875,0,0.0,1
91,3,4,108.0625,0,0.0,1
92,3,16,103.4375,0,0.0,1
93,12,1,129.375,0,0.0,1
94,12,4,115.5625,0,0.0,1
95,12,16,109.125,0,0.0625,1
96,48,1,137.625,0,0.0,1
97,48,4,127.1875,0,0.0,1
98,48,16,120.0625,0,0.0,1
99,192,1,95.875,0,0.0,1
100,192,4,115.5625,0,0.0,1
101,192,16,97.5,0,0.0,1
102,768,1,13.375,0,0.6875,1
103,768,4,12.5625,0,0.5625,1
104,768,16,48.25,0,0.4375,1
105,3,1,100.75,0,0.0,1
106,3,4,108.0625,0,0.0,1
107,3,16,113.0,0,0.0,1
108,12,1,129.25,0,0.0,1
109,12,4,111.6875,0,0.0,1
110,12,16,146.3125,0,0.0,1
111,48,1,130.25,0,0.0,1
112,48,4,97.125,0,0.0,1
113,48,16,115.4375,0,0.0625,1
114,192,1,75.375,0,0.0625,1
115,192,4,67.125,0,0.0625,1
116,192,16,98.9375,0,0.0625,1
117,768,1,7.6875,0,0.6875,1
118,768,4,12.875,0,0.625,1
119,768,16,48.3125,0,0.4375,1
120,3,1,107.5625,0,0.0,1
121,3,4,109.8125,0,0.0,1
122,3,16,106.8125,0,0.0,1
123,12,1,118.6875,0,0.0,1
124,12,4,136.5625,0,0.0,1
125,12,16,138.75,0,0.0,1
126,48,1,116.3125,0,0.0,1
127,48,4,109.125,0,0.0,1
128,48,16,159.8125,0,0.0,1
129,192,1,90.9375,0,0.0,1
130,192,4,77.3125,0,0.0625,1
131,192,16,72.875,0,0.0,1
132,768,1,8.625,0,0.6875,1
