,TRACES_AMOUNT,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR,FULL
0,3,1,109.875,0,0.0,1
1,3,4,103.1875,0,0.0625,1
2,3,16,120.75,0,0.0,1
3,12,1,112.5625,0,0.0,1
4,12,4,126.9375,0,0.0,1
5,12,16,125.5,0,0.0,1
6,48,1,129.5,0,0.0,1
7,48,4,100.3125,0,0.0,1
8,48,16,97.0,0,0.0,1
9,192,1,84.125,0,0.125,1
10,192,4,96.75,0,0.0625,1
11,192,16,81.3125,0,0.0625,1
12,768,1,21.6875,0,0.75,1
13,768,4,18.0,0,0.625,1
14,768,16,61.125,0,0.4375,1
15,3,1,110.6875,0,0.0,1
16,3,4,114.0625,0,0.0,1
17,3,16,117.8125,0,0.0,1
18,12,1,116.5625,0,0.0,1
19,12,4,142.6875,0,0.0,1
20,12,16,117.4375,0,0.0,1
21,48,1,97.5,0,0.0,1
22,48,4,120.5625,0,0.0,1
23,48,16,112.0,0,0.0,1
24,192,1,39.75,0,0.25,1
25,192,4,67.375,0,0.1875,1
26,192,16,123.875,0,0.0625,1
27,768,1,21.625,0,0.8125,1
28,768,4,20.5,0,0.625,1
29,768,16,67.375,0,0.4375,1
30,3,1,117.1875,0,0.0,1
31,3,4,108.25,0,0.0,1
32,3,16,122.5625,0,0.0,1
33,12,1,114.9375,0,0.0,1
34,12,4,138.0625,0,0.0,1
35,12,16,127.125,0,0.0,1
36,48,1,136.5625,0,0.0,1
37,48,4,160.8125,0,0.0,1
38,48,16,109.9375,0,0.0,1
39,192,1,107.6875,0,0.0,1
40,192,4,55.625,0,0.0625,1
41,192,16,72.9375,0,0.125,1
42,768,1,15.9375,0,0.75,1
43,768,4,23.0625,0,0.625,1
44,768,16,57.6875,0,0.4375,1
45,3,1,110.1875,0,0.0,1
46,3,4,113.625,0,0.0,1
47,3,16,115.3125,0,0.0,1
48,12,1,139.9375,0,0.0,1
49,12,4,113.4375,0,0.0,1
50,12,16,129.1875,0,0.0,1
51,48,1,134.125,0,0.0,1
52,48,4,126.4375,0,0.0,1
53,48,16,138.0625,0,0.0,1
54,192,1,86.0,0,0.1875,1
55,192,4,101.1875,0,0.0625,1
56,192,16,114.5625,0,0.0625,1
57,768,1,17.3125,0,0.75,1
58,768,4,20.25,0,0.5625,1
59,768,16,53.125,0,0.4375,1
60,3,1,104.625,0,0.0,1
61,3,4,109.0625,0,0.0,1
62,3,16,114.1875,0,0.0,1
63,12,1,157.875,0,0.0,1
64,12,4,110.8125,0,0.0,1
65,12,16,139.6875,0,0.0,1
66,48,1,122.625,0,0.0,1
67,48,4,129.0,0,0.0,1
68,48,16,152.375,0,0.0,1
69,192,1,83.875,0,0.125,1
70,192,4,84.4375,0,0.25,1
71,192,16,92.0625,0,0.125,1
72,768,1,15.375,0,0.8125,1
73,768,4,20.1875,0,0.5625,1
74,768,16,64.5,0,0.375,1
75,3,1,108.25,0,0.0,1
76,3,4,104.875,0,0.0,1
77,3,16,102.625,0,0.0,1
78,12,1,127.8125,0,0.0,1
79,12,4,97.3125,0,0.0,1
80,12,16,99.5,0,0.0,1
81,48,1,139.75,0,0.0625,1
82,48,4,108.25,0,0.0,1
83,48,16,124.6875,0,0.0,1
84,192,1,83.125,0,0.0625,1
85,192,4,79.6875,0,0.125,1
86,192,16,98.75,0,0.0625,1
87,768,1,16.125,0,0.8125,1
88,768,4,27.1875,0,0.5625,1
89,768,16,63.25,0,0.3125,1
90,3,1,108.25,0,0.0,1
91,3,4,114.4375,0,0.0625,1
92,3,16,116.75,0,0.0,1
93,12,1,133.3125,0,0.0,1
94,12,4,121.9375,0,0.0,1
95,12,16,113.375,0,0.0,1
96,48,1,123.125,0,0.0,1
97,48,4,141.9375,0,0.0,1
98,48,16,141.4375,0,0.0,1
99,192,1,73.6875,0,0.0625,1
100,192,4,105.3125,0,0.125,1
101,192,16,99.1875,0,0.125,1
102,768,1,20.1875,0,0.75,1
103,768,4,27.9375,0,0.625,1
104,768,16,68.1875,0,0.375,1
105,3,1,108.75,0,0.0,1
106,3,4,109.9375,0,0.0,1
107,3,16,103.625,0,0.0,1
108,12,1,117.5625,0,0.0,1
109,12,4,104.0,0,0.0,1
110,12,16,107.125,0,0.0,1
111,48,1,139.5,0,0.0,1
112,48,4,81.75,0,0.0,1
113,48,16,99.875,0,0.0,1
114,192,1,88.8125,0,0.0,1
115,192,4,104.3125,0,0.0625,1
116,192,16,104.0,0,0.0625,1
117,768,1,19.625,0,0.8125,1
118,768,4,17.375,0,0.5625,1
119,768,16,60.6875,0,0.375,1
120,3,1,109.0625,0,0.0,1
121,3,4,112.9375,0,0.0,1
122,3,16,120.5625,0,0.0,1
123,12,1,148.125,0,0.0,1
124,12,4,130.75,0,0.0,1
125,12,16,125.1875,0,0.0,1
126,48,1,106.25,0,0.0,1
127,48,4,112.0,0,0.0,1
128,48,16,124.5625,0,0.0,1
129,192,1,39.75,0,0.0625,1
130,192,4,84.375,0,0.125,1
131,192,16,97.0,0,0.0625,1
132,768,1,23.25,0,0.8125,1
133,768,4,17.0625,0,0.625,1
134,768,16,55.375,0,0.4375,1
135,3,1,98.0,0,0.0,1
136,3,4,109.375,0,0.0,1
137,3,16,115.1875,0,0.0,1
138,12,1,111.0625,0,0.0,1
139,12,4,143.6875,0,0.0,1
140,12,16,122.875,0,0.0,1
141,48,1,139.4375,0,0.0,1
142,48,4,123.25,0,0.0,1
143,48,16,113.625,0,0.0,1
144,192,1,52.125,0,0.1875,1
145,192,4,101.625,0,0.125,1
146,192,16,82.75,0,0.1875,1
147,768,1,20.75,0,0.75,1
148,768,4,23.5625,0,0.625,1
149,768,16,59.875,0,0.4375,1
