,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
0,10000.0,25.0,1.0,103.6875,0.0,0.0
1,10000.0,50.0,1.0,126.375,0.0,0.0
2,10000.0,75.0,1.0,150.0625,0.0,0.0
3,10000.0,100.0,1.0,127.5625,0.0,0.0
4,10000.0,25.0,2.0,150.875,0.0,0.0
5,10000.0,50.0,2.0,142.625,0.0,0.0
6,10000.0,75.0,2.0,140.1875,0.0,0.0
7,10000.0,100.0,2.0,121.375,0.0,0.0
8,10000.0,25.0,3.0,118.125,0.0,0.0
9,10000.0,50.0,3.0,100.0625,0.0,0.0
10,10000.0,75.0,3.0,129.875,0.0,0.0
11,10000.0,100.0,3.0,132.1875,0.0,0.0
12,15000.0,25.0,1.0,130.875,0.0,0.0
13,15000.0,50.0,1.0,117.5625,0.0,0.0
14,15000.0,75.0,1.0,116.6875,0.0,0.0
15,15000.0,100.0,1.0,149.5625,0.0,0.0
16,15000.0,25.0,2.0,132.6875,0.0,0.0
17,15000.0,50.0,2.0,110.875,0.0,0.0
18,15000.0,75.0,2.0,135.625,0.0,0.0
19,15000.0,100.0,2.0,137.125,0.0,0.0
20,15000.0,25.0,3.0,123.6875,0.0,0.0
21,15000.0,50.0,3.0,123.25,0.0,0.0
22,15000.0,75.0,3.0,104.0,0.0,0.0
23,15000.0,100.0,3.0,121.8125,0.0,0.0
24,20000.0,25.0,1.0,127.5625,0.0,0.0
25,20000.0,50.0,1.0,138.125,0.0,0.0
26,20000.0,75.0,1.0,160.75,0.0,0.0
27,20000.0,100.0,1.0,151.0,0.0,0.0
28,20000.0,25.0,2.0,135.6875,0.0,0.0
29,20000.0,50.0,2.0,110.375,0.0,0.0
30,20000.0,75.0,2.0,143.0625,0.0,0.0
31,20000.0,100.0,2.0,137.5625,0.0,0.0
32,20000.0,25.0,3.0,124.125,0.0,0.0625
33,20000.0,50.0,3.0,114.9375,0.0,0.0
34,20000.0,75.0,3.0,127.3125,0.0,0.0
35,20000.0,100.0,3.0,137.8125,0.0,0.0
36,10000.0,25.0,1.0,124.125,0.0,0.0625
37,10000.0,50.0,1.0,165.6875,0.0,0.0
38,10000.0,75.0,1.0,146.9375,0.0,0.0
39,10000.0,100.0,1.0,138.8125,0.0,0.0
40,10000.0,25.0,2.0,102.625,0.0,0.0
41,10000.0,50.0,2.0,156.5625,0.0,0.0
42,10000.0,75.0,2.0,149.0,0.0,0.0
43,10000.0,100.0,2.0,156.0,0.0,0.0
44,10000.0,25.0,3.0,103.9375,0.0,0.0
45,10000.0,50.0,3.0,123.5,0.0,0.0
46,10000.0,75.0,3.0,131.125,0.0,0.0
47,10000.0,100.0,3.0,167.875,0.0,0.0
48,15000.0,25.0,1.0,135.1875,0.0,0.0
49,15000.0,50.0,1.0,132.9375,0.0,0.0
50,15000.0,75.0,1.0,119.0625,0.0,0.0
51,15000.0,100.0,1.0,116.3125,0.0,0.0
52,15000.0,25.0,2.0,112.5,0.0,0.0
53,15000.0,50.0,2.0,138.3125,0.0,0.0
54,15000.0,75.0,2.0,138.1875,0.0,0.0
55,15000.0,100.0,2.0,124.8125,0.0,0.0
56,15000.0,25.0,3.0,156.75,0.0,0.0
57,15000.0,50.0,3.0,123.5625,0.0,0.0
58,15000.0,75.0,3.0,105.125,0.0,0.0
59,15000.0,100.0,3.0,115.375,0.0,0.0
60,20000.0,25.0,1.0,144.5625,0.0,0.0
61,20000.0,50.0,1.0,149.875,0.0,0.0
62,20000.0,75.0,1.0,119.375,0.0,0.0
63,20000.0,100.0,1.0,121.25,0.0,0.0
64,20000.0,25.0,2.0,104.8125,0.0,0.0
65,20000.0,50.0,2.0,133.125,0.0,0.0
66,20000.0,75.0,2.0,166.875,0.0,0.0
67,20000.0,100.0,2.0,136.0625,0.0,0.0
68,20000.0,25.0,3.0,119.0625,0.0,0.0
69,20000.0,50.0,3.0,122.125,0.0,0.0
70,20000.0,75.0,3.0,99.375,0.0,0.0
71,20000.0,100.0,3.0,103.375,0.0,0.0
72,10000.0,25.0,1.0,124.9375,0.0,0.0
73,10000.0,50.0,1.0,141.0625,0.0,0.0
74,10000.0,75.0,1.0,94.25,0.0,0.0625
75,10000.0,100.0,1.0,123.4375,0.0,0.0
76,10000.0,25.0,2.0,126.75,0.0,0.0
77,10000.0,50.0,2.0,146.1875,0.0,0.0
78,10000.0,75.0,2.0,138.75,0.0,0.0
79,10000.0,100.0,2.0,112.6875,0.0,0.0
80,10000.0,25.0,3.0,133.625,0.0,0.0
81,10000.0,50.0,3.0,122.4375,0.0,0.0
82,10000.0,75.0,3.0,130.5,0.0,0.0
83,10000.0,100.0,3.0,138.25,0.0,0.0
84,15000.0,25.0,1.0,121.125,0.0,0.0
85,15000.0,50.0,1.0,143.0,0.0,0.0
86,15000.0,75.0,1.0,132.5,0.0,0.0
87,15000.0,100.0,1.0,103.1875,0.0,0.0
88,15000.0,25.0,2.0,134.5,0.0,0.0
89,15000.0,50.0,2.0,147.8125,0.0,0.0
90,15000.0,75.0,2.0,125.25,0.0,0.0
91,15000.0,100.0,2.0,107.0,0.0,0.0
92,15000.0,25.0,3.0,134.4375,0.0,0.0
93,15000.0,50.0,3.0,148.5,0.0,0.0
94,15000.0,75.0,3.0,102.4375,0.0,0.0
95,15000.0,100.0,3.0,94.8125,0.0,0.0
96,20000.0,25.0,1.0,110.25,0.0,0.0
97,20000.0,50.0,1.0,165.5,0.0,0.0
98,20000.0,75.0,1.0,160.125,0.0,0.0
99,20000.0,100.0,1.0,112.8125,0.0,0.0
100,20000.0,25.0,2.0,107.75,0.0,0.0
101,20000.0,50.0,2.0,121.5,0.0,0.0
102,20000.0,75.0,2.0,134.125,0.0,0.0
103,20000.0,100.0,2.0,146.875,0.0,0.0
104,20000.0,25.0,3.0,143.4375,0.0,0.0
105,20000.0,50.0,3.0,130.9375,0.0,0.0
106,20000.0,75.0,3.0,131.375,0.0,0.0
107,20000.0,100.0,3.0,109.9375,0.0,0.0
108,10000.0,25.0,1.0,145.6875,0.0,0.0
109,10000.0,50.0,1.0,121.3125,0.0,0.0625
110,10000.0,75.0,1.0,96.1875,0.0,0.0
111,10000.0,100.0,1.0,136.375,0.0,0.0
112,10000.0,25.0,2.0,156.1875,0.0,0.0
113,10000.0,50.0,2.0,161.1875,0.0,0.0
114,10000.0,75.0,2.0,100.125,0.0,0.0
115,10000.0,100.0,2.0,140.8125,0.0,0.0
116,10000.0,25.0,3.0,125.3125,0.0,0.0
117,10000.0,50.0,3.0,90.4375,0.0,0.0
118,10000.0,75.0,3.0,99.0625,0.0,0.0
119,10000.0,100.0,3.0,135.625,0.0,0.0
